chercheur_id,nom_complet,chercheur_source_name,etablissement,laboratoire,equipe,type_membre,n_affectations,scholar_id,scholar_url,affiliation,email_domain,interests,citations_totales,h_index,i10_index,since_year,citations_since,h_index_since,i10_index_since,citations_since_2021,h_index_since_2021,i10_index_since_2021,scholar_profile_status,profile_match_confidence,match_method,collection_status,status_detail,data_source
fsbm_abdenbi_khouaja,Abdenbi Khouaja,ABDENBI.KHOUAJA,FSBM,Laboratoire de Physique de la Matière Condensée,Subatomique et Applications,Membre Permanent(e),1,4GVCnygAAAAJ,https://scholar.google.com/citations?user=4GVCnygAAAAJ&hl=en,University of Hassan II Casablanca,,Atomic and Molecular Physics; Particle accelerators and beam dynamics; Nuclear Physics and Applications; Hydrocarbon exploration and reservoir analysis; Radiation Therapy and Dosimetry,5,1,0,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_bouazza_braikat,Bouazza Braikat,BOUAZZA.BRAIKAT,FSBM,Laboratoire de Physique de la Matière Condensée,"Mécanique, Ingénierie et Matériaux",Membre Permanent(e),1,M9BcVSUAAAAJ,https://scholar.google.com/citations?user=M9BcVSUAAAAJ&hl=en,University of Hassan II Casablanca,,Composite Structure Analysis and Optimization; Numerical methods in engineering; Vibration and Dynamic Analysis; Advanced Numerical Methods in Computational Mathematics; Structural Analysis and Optimization,1195,21,41,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mohamed_idiri,Mohamed Idiri,MOHAMED.IDIRI,FSBM,Laboratoire de Physique de la Matière Condensée,"Mécanique, Ingénierie et Matériaux",Membre Permanent(e),1,oDDe4n4AAAAJ,https://scholar.google.com/citations?user=oDDe4n4AAAAJ&hl=en,University of Hassan II Casablanca,,Hydrogen Storage and Materials; Heusler alloys: electronic and magnetic properties; Metal and Thin Film Mechanics; Intermetallics and Advanced Alloy Properties; Advanced materials and composites,700,12,16,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mourad_benlattar,Mourad Benlattar,MOURAD.BENLATTAR,FSBM,Laboratoire de Physique de la Matière Condensée,Matériaux Innovants et Matière Condensée,Membre Permanent(e),1,xpxjPL4AAAAJ,https://scholar.google.com/citations?user=xpxjPL4AAAAJ&hl=en,,,,,,,,,,,,,,matched,1.0,manual_override,error,ScholarParseError: Élément #gsc_prf_in introuvable : profil inexistant ou HTML modifié,none
fsbm_othmane_daoudi,Othmane Daoudi,OTHMANE.DAOUDI,FSBM,Laboratoire de Physique de la Matière Condensée,"Mécanique, Ingénierie et Matériaux",Membre Permanent(e),1,1W-uvFYAAAAJ,https://scholar.google.com/citations?user=1W-uvFYAAAAJ&hl=en,"Université Ibn-Tofail, University of Hassan II Casablanca",,Copper-based nanomaterials and applications; ZnO doping and properties; Chalcogenide Semiconductor Thin Films; Quantum Dots Synthesis And Properties; Advanced Photocatalysis Techniques,138,6,3,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_rachida_moultif,Rachida Moultif,RACHIDA.MOULTIF,FSBM,Laboratoire de Physique de la Matière Condensée,Physique des nanosystèmes et nanocomposites,Membre Permanent(e),1,S26uLeQAAAAJ,https://scholar.google.com/citations?user=S26uLeQAAAAJ&hl=en,University of Hassan II Casablanca,,Membrane Separation Technologies; Advanced Battery Materials and Technologies; Advancements in Battery Materials; Fusion materials and technologies; Advanced Battery Technologies Research,63,4,2,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_ahmed_fekri,Ahmed Fekri,AHMED.FEKRI,FSBM,"Géosciences, Géomatique et Environnement",Géologie Appliquée et Ressources en Eaux,Membre Permanent(e),1,iVcGR4wAAAAJ,https://scholar.google.com/citations?user=iVcGR4wAAAAJ&hl=en,,,,,,,,,,,,,,matched,1.0,manual_override,error,ScholarParseError: Élément #gsc_prf_in introuvable : profil inexistant ou HTML modifié,none
fsbm_allal_labriki,Allal Labriki,Allal.LABRIKI,FSBM,"Géosciences, Géomatique et Environnement",Géomatique Appliquée aux Géosciences et à l'Environnement,Membre Permanent(e),1,5nrRDxAAAAAJ,https://scholar.google.com/citations?user=5nrRDxAAAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Landslides and related hazards; Geological and Geochemical Analysis; Soil erosion and sediment transport; Flood Risk Assessment and Management,64,4,2,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_faouziya_haissen,Faouziya Haissen,FAOUZIYA.HAISSEN,FSBM,"Géosciences, Géomatique et Environnement",Géologie Appliquée et Ressources en Eaux,Membre Permanent(e),1,IOR7TaoAAAAJ,https://scholar.google.com/citations?user=IOR7TaoAAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Geological and Geochemical Analysis; earthquake and tectonic studies; Geochemistry and Geologic Mapping; Geology and Paleoclimatology Research,712,16,21,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mostafa_oukassou,Mostafa Oukassou,MOSTAFA.OUKASSOU,FSBM,"Géosciences, Géomatique et Environnement",Géologie Appliquée et Ressources en Eaux,Membre Permanent(e),1,AKNLvIEAAAAJ,https://scholar.google.com/citations?user=AKNLvIEAAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Paleontology and Evolutionary Biology; Evolution and Paleontology Studies; Paleontology and Stratigraphy of Fossils; earthquake and tectonic studies,446,13,16,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mustapha_mouflih,Mustapha Mouflih,MUSTAPHA.MOUFLIH,FSBM,"Géosciences, Géomatique et Environnement","Dynamique, Stratigraphie et Valorisation des Bassins Sédimentaires",Membre Permanent(e),1,DCymGMEAAAAJ,https://scholar.google.com/citations?user=DCymGMEAAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Paleontology and Stratigraphy of Fossils; Geology and Paleoclimatology Research; Geochemistry and Elemental Analysis; Adsorption and biosorption for pollutant removal,881,11,13,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_nadia_barhoun,Nadia Barhoun,NADIA.BARHOUN,FSBM,"Géosciences, Géomatique et Environnement","Dynamique, Stratigraphie et Valorisation des Bassins Sédimentaires",Membre Permanent(e),1,AvtWIt8AAAAJ,https://scholar.google.com/citations?user=AvtWIt8AAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Geology and Paleoclimatology Research; Geological formations and processes; Mediterranean and Iberian flora and fauna; Paleontology and Stratigraphy of Fossils,625,9,9,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_rachid_essamoud,Rachid Essamoud,RACHID.ESSAMOUD,FSBM,"Géosciences, Géomatique et Environnement","Dynamique, Stratigraphie et Valorisation des Bassins Sédimentaires",Membre Permanent(e),1,pupxlJ0AAAAJ,https://scholar.google.com/citations?user=pupxlJ0AAAAJ&hl=en,University of Hassan II Casablanca,,Geological and Geophysical Studies Worldwide; Paleontology and Stratigraphy of Fossils; Geological formations and processes; Geology and Paleoclimatology Research; Archaeological and Historical Studies,125,6,3,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_soufiane_maimouni,Soufiane Maimouni,SOUFIANE.MAIMOUNI,FSBM,"Géosciences, Géomatique et Environnement",Géomatique Appliquée aux Géosciences et à l'Environnement,Membre Permanent(e),1,TvMcd8oAAAAJ,https://scholar.google.com/citations?user=TvMcd8oAAAAJ&hl=en,University of Hassan II Casablanca,,Groundwater and Watershed Analysis; Remote-Sensing Image Classification; Geochemistry and Geologic Mapping; Soil erosion and sediment transport; Soil Geostatistics and Mapping,273,10,10,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mohamed_moumou,Mohamed Moumou,MOHAMED.MOUMOU,FSBM,Laboratoire de Chimie Analytique et Moléculaire,"Chimie Physique, Modélisation Moléculaire et Substances Naturelles",Membre Permanent(e),1,0rekc_YAAAAJ,https://scholar.google.com/citations?user=0rekc_YAAAAJ&hl=en,"Abdelmalek Essaâdi University, University of Hassan II Casablanca",,Crystallization and Solubility Studies; X-ray Diffraction in Crystallography; Sesquiterpenes and Asteraceae Studies; Traditional and Medicinal Uses of Annonaceae; Marine Sponges and Natural Products,119,6,4,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_mohamed_radid,Mohamed Radid,MOHAMED.RADID,FSBM,Laboratoire de Chimie Analytique et Moléculaire,"Chimie Physique, Modélisation Moléculaire et Substances Naturelles",Membre Permanent(e),1,ZITQAJoAAAAJ,https://scholar.google.com/citations?user=ZITQAJoAAAAJ&hl=en,,,,,,,,,,,,,,matched,1.0,manual_override,error,ScholarParseError: Élément #gsc_prf_in introuvable : profil inexistant ou HTML modifié,none
fsbm_samia_yousfi,Samia Yousfi,SAMIA.YOUSFI,FSBM,Laboratoire de Chimie Analytique et Moléculaire,"Matériaux, Analyse et Procédés",Membre Permanent(e),1,BQ-SjWEAAAAJ,https://scholar.google.com/citations?user=BQ-SjWEAAAAJ&hl=en,University of Hassan II Casablanca,,Adsorption and biosorption for pollutant removal; Phosphorus and nutrient management; Coastal and Marine Dynamics; Minerals Flotation and Separation Techniques; Ocean Acidification Effects and Responses,50,5,0,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_samir_chtita,Samir Chtita,SAMIR.CHTITA,FSBM,Laboratoire de Chimie Analytique et Moléculaire,"Chimie Physique, Modélisation Moléculaire et Substances Naturelles",Membre Permanent(e),1,vdPyLoMAAAAJ,https://scholar.google.com/citations?user=vdPyLoMAAAAJ&hl=en,"MRC Laboratory of Molecular Biology, University of Hassan II Casablanca",,Computational Drug Discovery Methods; Synthesis and biological activity; Cholinesterase and Neurodegenerative Diseases; Click Chemistry and Applications; Free Radicals and Antioxidants,4361,38,120,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_asmaa_benbiyi,Asmaa Benbiyi,ASMAA.BENBIYI,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux fonctionnels et applications,Membre Permanent(e),1,tIzgYIoAAAAJ,https://scholar.google.com/citations?user=tIzgYIoAAAAJ&hl=en,University of Hassan II Casablanca,,Chemical and Physical Properties in Aqueous Solutions; Thermodynamic properties of mixtures; Crystallization and Solubility Studies; Chemical Thermodynamics and Molecular Structure; Phytochemicals and Antioxidant Activities,342,12,14,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_aziz_boutouil,Aziz Boutouil,AZIZ.BOUTOUIL,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux fonctionnels et applications,Membre Permanent(e),1,8X0-WxsAAAAJ,https://scholar.google.com/citations?user=8X0-WxsAAAAJ&hl=en,University of Hassan II Casablanca,,Corrosion Behavior and Inhibition; Concrete Corrosion and Durability; Hydrogen embrittlement and corrosion behaviors in metals; Adsorption and biosorption for pollutant removal; Electrodeposition and Electroless Coatings,391,10,10,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_boubker_mehdaoui,Boubker Mehdaoui,BOUBKER.MEHDAOUI,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux fonctionnels et applications,Membre Permanent(e),1,SAAqKKsAAAAJ,https://scholar.google.com/citations?user=SAAqKKsAAAAJ&hl=en,,,,,,,,,,,,,,matched,1.0,manual_override,error,ScholarParseError: Élément #gsc_prf_in introuvable : profil inexistant ou HTML modifié,none
fsbm_chaouki_sadik,Chaouki Sadik,CHAOUKI.SADIK,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,"Géomatériaux, efficacité énergétique et environnement",Membre Permanent(e),1,XytSkkwAAAAJ,https://scholar.google.com/citations?user=XytSkkwAAAAJ&hl=en,University of Hassan II Casablanca,,Recycling and utilization of industrial and municipal waste in materials production; Concrete and Cement Materials Research; Advanced ceramic materials synthesis; Clay minerals and soil interactions; Building materials and conservation,1022,17,23,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_fouad_alloun,Fouad Alloun,FOUAD.ALLOUN,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux fonctionnels et applications,Membre Permanent(e),1,zrGeAWgAAAAJ,https://scholar.google.com/citations?user=zrGeAWgAAAAJ&hl=en,University of Hassan II Casablanca,,X-ray Diffraction in Crystallography; Crystal Structures and Properties; Chemical Synthesis and Characterization; Glass properties and applications; Luminescence Properties of Advanced Materials,30,3,1,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_omar_tanane,Omar Tanane,OMAR.TANANE,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux intelligents et transfert technologique,Membre Permanent(e),1,0KSJLhAAAAAJ,https://scholar.google.com/citations?user=0KSJLhAAAAAJ&hl=en,University of Hassan II Casablanca,,Corrosion Behavior and Inhibition; Concrete Corrosion and Durability; Natural Fiber Reinforced Composites; Adsorption and biosorption for pollutant removal; Concrete and Cement Materials Research,2008,16,20,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_said_bakkali,Said Bakkali,SAID.BAKKALI,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Valorisation des matériaux et modélisation,Membre Permanent(e),1,idesK9gAAAAJ,https://scholar.google.com/citations?user=idesK9gAAAAJ&hl=en,University of Hassan II Casablanca,,Corrosion Behavior and Inhibition; Electrodeposition and Electroless Coatings; Molecular Junctions and Nanostructures; Electrochemical Analysis and Applications; Concrete Corrosion and Durability,107,6,4,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_soufiane_zerraf,Soufiane Zerraf,Soufiane.ZERRAF,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Valorisation des matériaux et modélisation,Membre Permanent(e),1,R7b0F7cAAAAJ,https://scholar.google.com/citations?user=R7b0F7cAAAAJ&hl=en,University of Hassan II Casablanca,,Crystal structures of chemical compounds; Chemical Synthesis and Characterization; Crystal Structures and Properties; Organometallic Compounds Synthesis and Characterization; Crystallography and molecular interactions,187,10,10,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_younes_abboud,Younes Abboud,YOUNES.ABBOUD,FSBM,Laboratoire de Chimie Physique des Matériaux Appliqués,Matériaux fonctionnels et applications,Membre Permanent(e),1,G0zEVVUAAAAJ,https://scholar.google.com/citations?user=G0zEVVUAAAAJ&hl=en,University of Hassan II Casablanca,,Corrosion Behavior and Inhibition; Conducting polymers and applications; Concrete Corrosion and Durability,2,1,0,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_abdelmottalib_nahli,Abdelmottalib Nahli,ABDELMOTTALIB.NAHLI,FSBM,Laboratoire d'Ecologie et d'Environnement,ECotoxicologie et Biomonitoring,Membre Permanent(e),1,FJUvtg8AAAAJ,https://scholar.google.com/citations?user=FJUvtg8AAAAJ&hl=en,University of Hassan II Casablanca,,Water Quality and Pollution Assessment; Water management and technologies; Freshwater macroinvertebrate diversity and ecology; Wastewater Treatment and Reuse; Aquatic Invertebrate Ecology and Behavior,34,3,0,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_loubna_benidire,Loubna Benidire,LOUBNA.BENIDIRE,FSBM,Laboratoire d'Ecologie et d'Environnement,Microbiologie Appliquée,Membre Permanent(e),1,BhRwnEcAAAAJ,https://scholar.google.com/citations?user=BhRwnEcAAAAJ&hl=en,"Université Ibn Zohr, University of Hassan II Casablanca",,Legume Nitrogen Fixing Symbiosis; Agronomic Practices and Intercropping Systems; Plant-Microbe Interactions and Immunity; Nematode management and characterization studies; Magnetic and Electromagnetic Effects,392,11,11,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_nadia_iounes,Nadia Iounes,NADIA.IOUNES,FSBM,Laboratoire d'Ecologie et d'Environnement,ECotoxicologie et Biomonitoring,Membre Permanent(e),1,cWLIf40AAAAJ,https://scholar.google.com/citations?user=cWLIf40AAAAJ&hl=en,University of Hassan II Casablanca,,"COVID-19 Clinical Research Studies; SARS-CoV-2 and COVID-19 Research; Obesity, Physical Activity, Diet; Corrosion Behavior and Inhibition; Groundwater and Isotope Geochemistry",50,4,1,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_wadi_badri,Wadi Badri,WADI.BADRI,FSBM,Laboratoire d'Ecologie et d'Environnement,Ecologie et Ecophysiologie Végétales,Membre Permanent(e),1,ntBEnvsAAAAJ,https://scholar.google.com/citations?user=ntBEnvsAAAAJ&hl=en,University of Hassan II Casablanca,,Mediterranean and Iberian flora and fauna; Phytochemistry and Biological Activities; Plant Ecology and Soil Science; Essential Oils and Antimicrobial Activity; African Botany and Ecology Studies,664,12,18,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_abdessamad_belangour,Abdessamad Belangour,ABDESSAMAD.BELANGOUR,FSBM,Laboratoire d’Intelligence Artificielle et Systèmes,Ingénierie Logicielle Intelligente et Analyse Stochastique,Membre Permanent(e),1,i8X0MgkAAAAJ,https://scholar.google.com/citations?user=i8X0MgkAAAAJ&hl=en,University of Hassan II Casablanca,,Cloud Computing and Resource Management; Big Data and Business Intelligence; IoT and Edge/Fog Computing; Natural Language Processing Techniques; Advanced Database Systems and Queries,918,16,41,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_driss_bouggar,Driss Bouggar,DRISS.BOUGGAR,FSBM,Laboratoire d’Intelligence Artificielle et Systèmes,Ingénierie Logicielle Intelligente et Analyse Stochastique,Membre Permanent(e),1,6TfW2X0AAAAJ,https://scholar.google.com/citations?user=6TfW2X0AAAAJ&hl=en,University of Hassan II Casablanca,,Mathematical and Theoretical Epidemiology and Ecology Models; Mathematical Biology Tumor Growth; Stochastic processes and financial applications; COVID-19 epidemiological studies; Evolution and Genetic Dynamics,18,3,0,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
fsbm_faouzia_benabbou,Faouzia Benabbou,FAOUZIA.BENABBOU,FSBM,Laboratoire d’Intelligence Artificielle et Systèmes,"Innovation en Science des Données, Intelligence Artificielle et Cloud",Membre Permanent(e),1,QOxPeEoAAAAJ,https://scholar.google.com/citations?user=QOxPeEoAAAAJ&hl=en,University of Hassan II Casablanca,,Topic Modeling; Spam and Phishing Detection; Sentiment Analysis and Opinion Mining; Cloud Computing and Resource Management; Imbalanced Data Classification Techniques,1117,16,32,,,,,,,,matched,1.0,openalex_name_institution,complete,Google Scholar limite l'accès (HTTP 429) : données OpenAlex (profil rattaché à l'Université Hassan II),openalex
