article_id,titre,annee,x,y,cluster,cluster_label,chercheurs,laboratoire
art_00029,A comparative analysis of activation functions in neural networks: unveiling categories,2024,-1.2408141,-3.3209858,3,"C3 · learning, data, detection",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00030,"A Comparative Analysis of Analytical Hierarchy Process and Fuzzy Logic Modeling in Flood Susceptibility Mapping in the Assaka Watershed, Morocco",2023,0.03928057,-1.7062619,3,"C3 · learning, data, detection",Allal Labriki,"Géosciences, Géomatique et Environnement"
art_00031,A Comparative Study of Agile Methods: Towards a New Model-based Method.,2017,-2.256086,-2.6152854,3,"C3 · learning, data, detection",Nawal Sael,Laboratoire d’Intelligence Artificielle et Systèmes
art_00032,A Comparative Study of Hadoop-based Big Data Architectures.,2017,-1.7887926,-3.5418925,2,"C2 · model, control, data",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00033,A Comparative Study of Machine Learning Methods for Automatic Classification of Academic and Vocational Guidance Questions,2020,-2.4629116,-3.0004258,3,"C3 · learning, data, detection",Elhabib Benlahmar; Omar Zahour,Technologie de l'Information et Modélisation
art_00034,A Comparative Study of Microservices-based IoT Platforms,2020,-1.3366029,-3.5515153,3,"C3 · learning, data, detection",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00035,A comparative study of sentiment analysis approaches,2019,-1.5333529,-2.7588224,3,"C3 · learning, data, detection",Faouzia Benabbou; Nawal Sael,Laboratoire d’Intelligence Artificielle et Systèmes
art_00036,A Comparative Study on Pixel-based Classification and Object-Oriented Classification of Satellite Image,2022,-0.5798512,-0.33301798,4,"C4 · properties, synthesis, numerical",Abdessamad Belangour,Laboratoire d’Intelligence Artificielle et Systèmes
art_00037,A comprehensive review on green perspectives of electrocoagulation integrated with advanced processes for effective pollutants removal from water environment,2022,1.0641831,-1.3082464,1,"C1 · properties, water, mg",Fouad Damiri,Laboratoire Biologie et Santé
art_00038,A Comprehensive Survey on VANET–IoT Integration Toward the Internet of Vehicles,2025,-1.3855944,-2.5583482,3,"C3 · learning, data, detection",Khalid Kandali,Technologie de l'Information et Modélisation
art_00039,"A Comprehensive Survey on VANET–IoT Integration Toward the Internet of Vehicles: Architectures, Communications, and System Challenges",2026,-1.4062897,-2.5219724,3,"C3 · learning, data, detection",Khalid Kandali; Said Nouh,Technologie de l'Information et Modélisation
art_00040,A Comprehensive Systematic Review of Deep Learning Techniques for Anomaly Detection in Urban Video Surveillance,2025,-1.3714753,-2.5458765,3,"C3 · learning, data, detection",Mohssine Bentaib,Technologie de l'Information et Modélisation
art_00041,A Computational Approach to Calculate the Hydrographic Zero Along the Moroccan Atlantic Coast (Port of Mohammedia) Using Matlab,2023,1.0177438,-4.4757624,7,"C7 · phosphate, properties, po4",Laila Mouakkir,Laboratoire d’Ingénierie et de Matériaux
art_00042,A computational framework for analyzing urban data usage patterns in African cities: a 25-year data-driven review using natural language processing and machine learning,2026,-0.7432476,-2.2879348,3,"C3 · learning, data, detection",Tarik Chafiq,Laboratoire de Traitement de l'Information
art_00043,"A computer-aided drug design approach to explore novel type II inhibitors of c-Met receptor tyrosine kinase for cancer therapy: QSAR, molecular docking, ADMET and molecular dynamics simulations",2022,1.1599813,0.80103964,1,"C1 · properties, water, mg",Samir Chtita,Laboratoire de Chimie Analytique et Moléculaire
art_00044,A concise survey on ADAS: advances in vehicle and pedestrian detection with a focus on the AUTOSAR automotive standard,2026,-0.9140202,0.29687852,7,"C7 · phosphate, properties, po4",Abdelmoghit Zaarane; Issam Atouf,Laboratoire de Traitement de l'Information
art_00045,A Coupled SFM-ASCRIBE Model To Investigate the Influence of Emotions and Collective Behavior in Homogeneous and Heterogeneous Crowds,2024,-0.10385405,-2.649495,3,"C3 · learning, data, detection",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00046,A Critical Review of Heat Transfer Characteristic Using Nanofluid Flow Around a Set of 2D Cylinder Arrangements?,2018,2.143031,-2.9258525,2,"C2 · model, control, data",Rachida Moultif,Laboratoire de Physique de la Matière Condensée
art_00047,A deep learning based technique for plagiarism detection: a comparative study,2020,-1.6067406,-3.0167203,3,"C3 · learning, data, detection",Faouzia Benabbou,Laboratoire d’Intelligence Artificielle et Systèmes
art_00048,A deep neural network for detecting the severity level of diabetic retinopathy from retinography images,2022,-1.8915609,-2.1291378,3,"C3 · learning, data, detection",Aziza Elbakali,Laboratoire de Traitement de l'Information
art_00049,A dimensionless analytical analysis for buckling and lateral buckling interaction of thin-walled beams with open cross sections,2023,1.8866105,-2.503989,4,"C4 · properties, synthesis, numerical",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00050,A dimensionless numerical mesh-free model for the compressible fluid flows,2021,-1.1352466,-4.795937,2,"C2 · model, control, data",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00051,A Dimensionless Study of Fgm Membranes Wrinkling Using the Anm Algorithm,2024,1.5298103,-4.8157306,4,"C4 · properties, synthesis, numerical",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00052,A dimensionless study of Functionally Graded Material membranes wrinkling using the Asymptotic Numerical Method,2025,1.6093571,-4.769812,4,"C4 · properties, synthesis, numerical",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00053,A double step size method for linear complementarity problem,2025,0.19924337,-4.9143014,2,"C2 · model, control, data",Imane Agmour,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00054,A drip irrigation prediction system in a greenhouse based on long short-term memory and connected objects,2023,-2.4839013,-3.9294727,2,"C2 · model, control, data",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00055,A Fast Algorithm for Solving a Class of the Linear Complementarity Problem in a Finite Number of Steps,2020,0.08847502,-5.502913,2,"C2 · model, control, data",Imane Agmour,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00056,A fractional order model for Malaria control using optimal strategies and numerical simulations,2026,0.17737897,-3.8318255,3,"C3 · learning, data, detection",Khalid Adnaoui,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00057,A General Stochastic Model for Tumor Growth: Simulating Cardiac Tumor (Myxoma) Development,2024,1.0584784,-2.8742254,2,"C2 · model, control, data",Khalid Adnaoui,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00058,A high gain 1* 2 array RFID reader MPA for indoor localization applications,2017,1.6536734,-3.0035896,2,"C2 · model, control, data",Abdellatif Slimani,Laboratoire de Traitement de l'Information
art_00059,A high order implicit algorithm for solving instationary non-linear problems,2002,1.7301112,-4.7519984,4,"C4 · properties, synthesis, numerical",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00060,A high order mesh-free method for buckling and post-buckling analysis of shells,2018,1.6043869,-3.8465466,2,"C2 · model, control, data",Abdellah Hamdaoui; Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00061,A highly turn-on fluorescent CHEF-type chemosensor for selective detection of Cu2+ in aqueous media,2019,1.3549939,-0.629873,1,"C1 · properties, water, mg",Siham Slassi,Laboratoire d’Ingénierie et de Matériaux
art_00062,A holistic approach towards characterizing the El-Oued siliceous sand (eastern Algeria) for potential industrial applications,2021,2.4740603,-0.90679926,7,"C7 · phosphate, properties, po4",Chaouki Sadik,Laboratoire de Chimie Physique des Matériaux Appliqués
art_00063,A hybrid biomass-natural kaolinite for refractory ceramic manufacturing,2024,2.100239,-1.2652686,1,"C1 · properties, water, mg",Chaouki Sadik,Laboratoire de Chimie Physique des Matériaux Appliqués
art_00064,A Hybrid Deep Learning Architecture for Social Media Bots Detection Based on BiGRU-LSTM and GloVe Word Embedding,2024,-2.1815085,-3.3471475,3,"C3 · learning, data, detection",Faouzia Benabbou,Laboratoire d’Intelligence Artificielle et Systèmes
art_00065,"A large prospective study of group B Streptococcus carriage in pregnant women in Morocco: prevalence, serotype distribution, antimicrobial resistance and virulence determinants",2025,0.13675001,-0.5712751,2,"C2 · model, control, data",Halima Lebrazi; Karima Mohtadi,Laboratoire Biologie et Santé
art_00066,A Load-Balancing Approach Using an Improved Simulated Annealing Algorithm,2020,-1.0945777,-4.875832,2,"C2 · model, control, data",Elhabib Benlahmar,Technologie de l'Information et Modélisation
art_00067,A low complexity soft decision decoder for linear block codes,2018,-0.64546704,-4.956172,2,"C2 · model, control, data",Said Nouh,Technologie de l'Information et Modélisation
art_00068,A mathematical model and optimal control analysis for scholar Drop out,2022,0.49829325,-4.1567693,2,"C2 · model, control, data",Khalid Adnaoui,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00069,A Mathematical Overview of the Monogamous Marriage in a Multiregion Framework: Modelling and Control,2020,0.6234652,-4.3453355,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00070,A-MCAC: An Adaptive Mobility- and Connectivity-Aware Clustering Framework for Stable and Efficient Internet of Vehicles Communications,2026,-1.3591627,-4.4886503,3,"C3 · learning, data, detection",Khalid Kandali,Technologie de l'Information et Modélisation
art_00071,A Method to determine Partial Weight Enumerator for Linear Block Codes,2012,-0.75498873,-4.8671727,2,"C2 · model, control, data",Said Nouh,Technologie de l'Information et Modélisation
art_00072,A miniaturized high isolation printed diplexer model based on band pass filter technique for 4G-LTE/5G-Sub 6 GHz applications,2022,2.0998073,-3.5670147,5,"C5 · molecular, corrosion, experimental",Abdellatif Slimani,Laboratoire de Traitement de l'Information
art_00073,A Modified and Enhanced Normalized built-up Index using Multispectral and Thermal Bands,2016,-0.54610014,-0.3718843,4,"C4 · properties, synthesis, numerical",Tarik Chafiq,Laboratoire de Traitement de l'Information
art_00074,A multi-regions discrete-time epidemic model with a travel-blocking vicinity optimal control approach on patches,2017,0.35118294,-3.9020448,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00075,A Multi-regions SIS Discrete Influenza Pandemic Model with a Travel-blocking Vicinity Optimal Control Approach on Cells,2017,0.5701175,-3.8153532,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00076,A Multiregion Discrete-Time Epidemic Model of Mycobacterium tuberculosis Infections: An Optimal Control Approach,2021,1.0991998,-4.835671,2,"C2 · model, control, data",Hassan Laarabi,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00077,"A multi‐regional epidemic model for controlling the spread of Ebola: awareness, treatment, and travel‐blocking optimal control approaches",2016,0.21227199,-3.3868482,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00078,A new algorithm based on Moving Least Square method to simulate material mixing in friction stir welding,2014,2.4477637,-1.9688065,4,"C4 · properties, synthesis, numerical",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00079,A new algorithm for finding minimum spanning trees with undirected neutrosophic graphs,2018,-0.37982237,-5.614975,2,"C2 · model, control, data",Mohamed Talea,Laboratoire de Traitement de l'Information
art_00080,A new analysis of infection dynamics: multi-regions discrete epidemic model with an extended optimal control approach,2016,0.41253468,-4.405742,4,"C4 · properties, synthesis, numerical",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00081,A new analytical formula to compute the step length of Padé approximants in the ANM: Application to buckling structures,2019,1.8847113,-4.5910926,2,"C2 · model, control, data",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00082,A new approach for assessing the absorption of disposable baby diapers and superabsorbent polymers: A comparative study,2020,2.229511,-1.5653932,2,"C2 · model, control, data",Fouad Damiri; Mohammed Berrada,Laboratoire Biologie et Santé
art_00083,A New Architecture for Real Time Data Stream Processing,2017,-2.3135185,-2.7780495,2,"C2 · model, control, data",Abderrahmane Daif,Technologie de l'Information et Modélisation
art_00084,A New Best Approximation Result in (S) Convex Metric Spaces,2020,-0.006679242,-6.0180736,2,"C2 · model, control, data",Abdelhafid Bassou,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00085,A New Class of Vector Padé Approximants in the Asymptotic Numerical Method: Application in Nonlinear 2D Elasticity,2014,2.027697,-4.669185,2,"C2 · model, control, data",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00086,"A new coumarin derivative: Synthesis, crystal structure, computational studies, and dual antioxidant–antibacterial activity",2025,2.0574167,1.4727575,4,"C4 · properties, synthesis, numerical",Siham Slassi,Laboratoire d’Ingénierie et de Matériaux
art_00087,A New Data Deletion Scheme for a Blockchain-based De-duplication System in the Cloud,2021,-2.6596856,-2.7711575,3,"C3 · learning, data, detection",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00088,A New Data Deletion Scheme for a Blockchain-based De-duplication System in the Cloud,2022,-2.6581883,-2.753933,3,"C3 · learning, data, detection",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00089,A new efficient synthesis of CuO thin films using modified SILAR method,2020,3.237692,-1.0821197,4,"C4 · properties, synthesis, numerical",Othmane Daoudi,Laboratoire de Physique de la Matière Condensée
art_00090,A new efficient way based on special stabilizer multiplier permutations to attack the hardness of the minimum weight search problem for large BCH codes,2019,-0.77037287,-4.789666,3,"C3 · learning, data, detection",Said Nouh,Technologie de l'Information et Modélisation
art_00091,A new epidemic modeling approach: Multi-regions discrete-time model with travel-blocking vicinity optimal control strategy,2017,0.34811205,-3.9288023,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00092,A New Fast Iterative Decoder of Product Codes Based on Hash and Syndromes and Optimized by Genetic Algorithms,2022,-0.45493865,-4.711791,4,"C4 · properties, synthesis, numerical",Said Nouh,Technologie de l'Information et Modélisation
art_00093,A New Hybrid Routing Protocol Using a Modified K-Means Clustering Algorithm and Continuous Hopfield Network for VANET,2021,-1.2915689,-4.480919,3,"C3 · learning, data, detection",Khalid Kandali,Technologie de l'Information et Modélisation
art_00094,A new insight into corrosion inhibition process of mild steel in sulfuric acid medium: a combined experimental and theoretical study,2019,3.6728148,-2.3801157,1,"C1 · properties, water, mg",Aziz Boutouil,Laboratoire de Chimie Physique des Matériaux Appliqués
art_00095,A New Online Plagiarism Detection System based on Deep Learning,2020,-1.9471949,-3.197149,2,"C2 · model, control, data",Faouzia Benabbou,Laboratoire d’Intelligence Artificielle et Systèmes
art_00096,A new percentage of biphasic calcium phosphate (BCP) of nanoparticles synthesized directly by hydrothermal process,2020,3.2022285,-1.3305634,1,"C1 · properties, water, mg",Youssef Naimi,Laboratoire de Traitement de l'Information
art_00097,A New Result on Tricyclic Mappings,2020,-0.1308266,-5.9053903,2,"C2 · model, control, data",Abdelhafid Bassou,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00098,A New Routing Algorithm Based on an Efficient Cluster-Head Selection,2024,-0.95366853,-4.609401,2,"C2 · model, control, data",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00099,A New Simple Epidemic Discrete-Time Model Describing the Dissemination of Information with Optimal Control Strategy,2020,0.69817793,-3.7264347,2,"C2 · model, control, data",Omar Zakary,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00100,A new stegosaurian dinosaur (Ornithischia: Thyreophora) with a remarkable dermal armour from the Middle Jurassic of North Africa,2024,-0.10507897,4.4978824,6,"C6 · morocco, maroc, rabat",Mostafa Oukassou,"Géosciences, Géomatique et Environnement"
art_00101,A New Way to Find the Minimum Distance of BCH and Quadratic Double Circulant Codes,2018,-0.7458491,-4.831766,2,"C2 · model, control, data",Said Nouh,Technologie de l'Information et Modélisation
art_00102,A Next-Generation Deep Learning-Powered Security Operations Center (SOC) for Online Learning Platforms,2023,-2.2809956,-2.6463475,3,"C3 · learning, data, detection",Mohamed Ghazouani,Technologie de l'Information et Modélisation
art_00103,A non-destructive method for estimating above-ground forest biomass in threatened woodlands,2000,-0.6843762,1.1627579,7,"C7 · phosphate, properties, po4",Wadi Badri,Laboratoire d'Ecologie et d'Environnement
art_00104,A note on best proximity point for S-cyclic mappings,2021,0.00590864,-6.0267653,2,"C2 · model, control, data",Abdelhafid Bassou,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00105,A novel approach for producing low cost and highly efficient activated carbon for removing cationic dyes,2019,2.1026459,-0.81855845,1,"C1 · properties, water, mg",Abdelmjid Abourriche,Laboratoire Biologie et Santé
art_00106,A novel approach to establishing uniqueness of solutions in linear complementarity problems,2023,0.2613097,-4.996697,2,"C2 · model, control, data",Imane Agmour,"Laboratoire d'Analyse, Modélisation et Simulation"
art_00107,"A novel azo dye, 8-quinolinol-5-azoantipyrine as corrosion inhibitor for mild steel in acidic media",2009,3.6199472,-2.2594945,4,"C4 · properties, synthesis, numerical",Mohammed Berrada,Laboratoire Biologie et Santé
art_00108,A novel imidazole‐derived Schiff base as selective and sensitive colorimetric chemosensor for fluorescent detection of Cu2+ in methanol with mixed aqueous medium,2021,1.3242307,-0.7844566,2,"C2 · model, control, data",Siham Slassi,Laboratoire d’Ingénierie et de Matériaux
art_00109,A novel k-means powered algorithm for an efficient clustering in vehicular ad-hoc networks,2023,-1.3459026,-4.4698095,3,"C3 · learning, data, detection",Khalid Kandali,Technologie de l'Information et Modélisation
art_00110,A novel non-toxic camptothecin formulation for cancer chemotherapy,2004,0.9011347,0.7258951,4,"C4 · properties, synthesis, numerical",Mohammed Berrada,Laboratoire Biologie et Santé
art_00111,"A novel phosphate with Co II square planar coordination, BaCo 0.5 Fe(PO 4 ) 2 : structural and magnetic features",2023,3.2392347,-1.5789028,2,"C2 · model, control, data",Fouad Alloun,Laboratoire de Chimie Physique des Matériaux Appliqués
art_00112,A Novel Route Discovery Mechanism Based on Neighborhood Broadcasting Methods in VANET,2019,-1.2698209,-4.2031097,7,"C7 · phosphate, properties, po4",Khalid Kandali,Technologie de l'Information et Modélisation
art_00113,"A Novel Superabsorbent Polymer from Crosslinked Carboxymethyl Tragacanth Gum with Glutaraldehyde: Synthesis, Characterization, and Swelling Properties",2021,1.8348799,-2.4428046,1,"C1 · properties, water, mg",Fouad Damiri; Mohammed Berrada,Laboratoire Biologie et Santé
art_00114,A numerical mesh-free model for elasto-plastic contact problems,2017,1.9689393,-4.6678376,4,"C4 · properties, synthesis, numerical",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00115,A one-dimensional model for computing forced nonlinear vibration of thin-walled composite beams with open variable cross-sections,2020,1.9323803,-4.1917925,2,"C2 · model, control, data",Bouazza Braikat,Laboratoire de Physique de la Matière Condensée
art_00116,A parabolic equation based on a rational quadratic approximation for surface gravity wave propagation,2003,1.3084592,-3.0887063,7,"C7 · phosphate, properties, po4",Soumia Mordane,Laboratoire d’Ingénierie et de Matériaux
art_00117,A phosphogypsum‐based road material with enhanced mechanical properties for sustainable environmental remediation,2021,1.600565,-1.1135273,1,"C1 · properties, water, mg",Chaouki Sadik,Laboratoire de Chimie Physique des Matériaux Appliqués
art_00118,A real-time system for vehicle detection with shadow removal and vehicle classification based on vehicle features at urban roads,2020,-1.7995008,-4.0688796,3,"C3 · learning, data, detection",Abdelmoghit Zaarane,Laboratoire de Traitement de l'Information
art_00119,A Recommender System for Videos Suggestion in a SPOC: A Proposed Personalized Learning Method,2019,-2.608698,-1.7751027,4,"C4 · properties, synthesis, numerical",Elhabib Benlahmar,Technologie de l'Information et Modélisation
art_00120,A reduced-order modeling based on multi-scale method for wrinkles with variable orientations,2020,2.0799162,-4.5453725,2,"C2 · model, control, data",Abdellah Hamdaoui,Laboratoire de Physique de la Matière Condensée
art_00121,A regio- and stereoselectivity and molecular mechanism study on the addition reactions of morpholine and m-CPBA to 9α-hydroxyparthenolide using DFT calculations,2020,4.0531087,-2.347984,2,"C2 · model, control, data",Mohamed Moumou,Laboratoire de Chimie Analytique et Moléculaire
art_00122,A Review of Open-Source Systems on Chip Case of LiteX RubyRTL and PyMTL,2022,-2.1648333,-5.783838,7,"C7 · phosphate, properties, po4",Abdelhakim Alali,Laboratoire de Traitement de l'Information
art_00123,A Review of the Different Levels of Abstraction for Systems-on-Chip (SoC),2021,-2.0083807,-5.6127443,2,"C2 · model, control, data",Abdelhakim Alali,Laboratoire de Traitement de l'Information
art_00124,A review on natural biopolymers in external drug delivery systems for wound healing and atopic dermatitis,2024,0.7182921,-1.0050634,1,"C1 · properties, water, mg",Fouad Damiri,Laboratoire Biologie et Santé
art_00125,A review paper on artificial intelligence at the service of human resources management,2020,-2.3241992,-3.1241236,3,"C3 · learning, data, detection",Elhabib Benlahmar,Technologie de l'Information et Modélisation
art_00126,A Routing Scheme Using an Adaptive K-Harmonic Means Clustering for VANETs,2020,-1.3265502,-4.441072,3,"C3 · learning, data, detection",Khalid Kandali,Technologie de l'Information et Modélisation
